SpecNo,ItemId,Seq,AcceptanceVi,AcceptanceEn,MethodVi,MethodEn,SourceFrequency,Sort
CCL-SPEC-QC591,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4969
CCL-SPEC-QC591,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4970
CCL-SPEC-QC591,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4971
CCL-SPEC-QC591,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,4972
CCL-SPEC-QC591,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,4973
CCL-SPEC-QC591,MT-02,1,Kiểm tra HSF,,Ngày Rohs:  22/8/2025,Rohs Date: 8/22/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,4974
CCL-SPEC-QC591,BD-01,1,FTM: 2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,4975
CCL-SPEC-QC591,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,4976
CCL-SPEC-QC591,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,4977
CCL-SPEC-QC592,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,4978
CCL-SPEC-QC592,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,4979
CCL-SPEC-QC592,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,4980
CCL-SPEC-QC592,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4981
CCL-SPEC-QC592,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4982
CCL-SPEC-QC592,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4983
CCL-SPEC-QC592,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4984
CCL-SPEC-QC592,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,4985
CCL-SPEC-QC592,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,4986
CCL-SPEC-QC592,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 08/9/2025,Rohs Date: 9/08/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,4987
CCL-SPEC-QC592,BD-01,1,FTM: 2(20p),,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,4988
CCL-SPEC-QC592,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,4989
CCL-SPEC-QC592,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,4990
CCL-SPEC-QC593,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,4991
CCL-SPEC-QC593,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,4992
CCL-SPEC-QC593,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,4993
CCL-SPEC-QC593,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4994
CCL-SPEC-QC593,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4995
CCL-SPEC-QC593,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4996
CCL-SPEC-QC593,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,4997
CCL-SPEC-QC593,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,4998
CCL-SPEC-QC593,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,4999
CCL-SPEC-QC593,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 16/1/2026,Rohs Date: 1/16/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5000
CCL-SPEC-QC593,BD-01,1,FTM: 1,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5001
CCL-SPEC-QC593,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5002
CCL-SPEC-QC593,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5003
CCL-SPEC-QC594,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,5004
CCL-SPEC-QC594,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,5005
CCL-SPEC-QC594,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,5006
CCL-SPEC-QC594,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5007
CCL-SPEC-QC594,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5008
CCL-SPEC-QC594,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5009
CCL-SPEC-QC594,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5010
CCL-SPEC-QC594,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,5011
CCL-SPEC-QC594,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5012
CCL-SPEC-QC594,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 22/1/2026,Rohs Date: 1/22/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5013
CCL-SPEC-QC594,BD-01,1,FTM:  1,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5014
CCL-SPEC-QC594,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5015
CCL-SPEC-QC594,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5016
CCL-SPEC-QC595,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,5017
CCL-SPEC-QC595,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,5018
CCL-SPEC-QC595,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,5019
CCL-SPEC-QC595,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5020
CCL-SPEC-QC595,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5021
CCL-SPEC-QC595,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5022
CCL-SPEC-QC595,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5023
CCL-SPEC-QC595,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,5024
CCL-SPEC-QC595,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5025
CCL-SPEC-QC595,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 16/1/2026,Rohs Date: 1/16/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5026
CCL-SPEC-QC595,BD-01,1,FTM:  1,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5027
CCL-SPEC-QC595,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5028
CCL-SPEC-QC595,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5029
CCL-SPEC-QC596,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,5030
CCL-SPEC-QC596,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,5031
CCL-SPEC-QC596,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,5032
CCL-SPEC-QC596,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5033
CCL-SPEC-QC596,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5034
CCL-SPEC-QC596,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5035
CCL-SPEC-QC596,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5036
CCL-SPEC-QC596,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,5037
CCL-SPEC-QC596,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5038
CCL-SPEC-QC596,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 16/1/2026,Rohs Date: 1/16/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5039
CCL-SPEC-QC596,BD-01,1,FTM: 1,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5040
CCL-SPEC-QC596,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5041
CCL-SPEC-QC596,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5042
CCL-SPEC-QC597,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,5043
CCL-SPEC-QC597,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,5044
CCL-SPEC-QC597,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,5045
CCL-SPEC-QC597,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5046
CCL-SPEC-QC597,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5047
CCL-SPEC-QC597,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5048
CCL-SPEC-QC597,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5049
CCL-SPEC-QC597,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,5050
CCL-SPEC-QC597,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5051
CCL-SPEC-QC597,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 16/1/2026,Rohs Date: 1/16/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5052
CCL-SPEC-QC597,BD-01,1,FTM:  1,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5053
CCL-SPEC-QC597,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5054
CCL-SPEC-QC597,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5055
CCL-SPEC-QC598,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,5056
CCL-SPEC-QC598,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,5057
CCL-SPEC-QC598,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,5058
CCL-SPEC-QC598,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5059
CCL-SPEC-QC598,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5060
CCL-SPEC-QC598,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5061
CCL-SPEC-QC598,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5062
CCL-SPEC-QC598,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,5063
CCL-SPEC-QC598,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5064
CCL-SPEC-QC598,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 16/1/2026,Rohs Date: 1/16/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5065
CCL-SPEC-QC598,BD-01,1,FTM: 1,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5066
CCL-SPEC-QC598,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5067
CCL-SPEC-QC598,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5068
CCL-SPEC-QC599,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,5069
CCL-SPEC-QC599,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,5070
CCL-SPEC-QC599,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,5071
CCL-SPEC-QC599,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5072
CCL-SPEC-QC599,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5073
CCL-SPEC-QC599,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5074
CCL-SPEC-QC599,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5075
CCL-SPEC-QC599,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,5076
CCL-SPEC-QC599,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5077
CCL-SPEC-QC599,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 16/1/2026,Rohs Date: 1/16/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5078
CCL-SPEC-QC599,BD-01,1,FTM:  1,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5079
CCL-SPEC-QC599,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5080
CCL-SPEC-QC599,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5081
CCL-SPEC-QC600,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,5082
CCL-SPEC-QC600,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,5083
CCL-SPEC-QC600,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,5084
CCL-SPEC-QC600,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5085
CCL-SPEC-QC600,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5086
CCL-SPEC-QC600,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5087
CCL-SPEC-QC600,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,5088
CCL-SPEC-QC600,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,5089
CCL-SPEC-QC600,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5090
CCL-SPEC-QC600,MT-02,1,Kiểm tra HSF,,Ngày Rohs:,Rohs Date:,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,5091
CCL-SPEC-QC600,BD-01,1,FTM:  XXX,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,5092
CCL-SPEC-QC600,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,5093
CCL-SPEC-QC600,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,5094
